,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
57587808,550287,2,657187,14031909,839.0,,,,,,
57587809,491509,3,657187,14031909,839.0,,,,,,
70162631,480601,1,654556,26619640,1.0,5.0,0.0,21.3196,154.316,44.1211,-46.4812
77288376,480601,1,620791,28023885,1.0,5.0,4.0,21.3196,154.316,0.32756,-167.851
78541457,620235,1,623922,23943418,1.0,3.0,5.0,-24.2885,-110.82,18.0278,153.188
78541458,620235,2,657187,23943418,43.0,,,,,,
78541459,623922,3,657187,23943418,43.0,,,,,,
91993452,550287,1,480601,13142151,1.0,0.0,5.0,33.6737,-35.3495,21.3196,154.316
91993453,550287,2,657187,13142151,17.0,,,,,,
91993454,480601,3,657187,13142151,17.0,,,,,,
92974951,623468,0,491509,27917352,1.0,,,,,,
94593742,623468,0,623922,4888086,1.0,,,,,,
96061321,550287,1,480601,18325448,1.0,0.0,5.0,33.6737,-35.3495,21.3196,154.316
96976787,465195,0,592099,7016779,1.0,,,,,,
99885157,623922,1,623468,13048740,1.0,5.0,4.0,18.0278,153.188,2.0146599999999997,-163.39
110777864,480601,1,550287,27746280,1.0,5.0,0.0,21.3196,154.316,33.6737,-35.3495
113237597,574136,0,567987,7674022,1.0,,,,,,
117501571,620235,1,552765,20251390,1.0,3.0,3.0,-24.2885,-110.82,-24.8,-111.06299999999999
118119930,574136,1,552765,6684009,1.0,4.0,3.0,-1.6001,-161.631,-24.8,-111.06299999999999
122700180,512397,0,550287,8811852,1.0,,,,,,
122700181,512397,0,550287,10409865,1.0,,,,,,
122700182,512397,0,550287,12670289,1.0,,,,,,
122700183,512397,0,550287,14384733,1.0,,,,,,
122700184,512397,0,550287,15835592,1.0,,,,,,
122700185,512397,0,550287,18060533,1.0,,,,,,
122700186,512397,0,550287,20234879,1.0,,,,,,
122700187,550287,2,657187,10250285,170.0,,,,,,
122700188,512397,3,657187,10250285,170.0,,,,,,
122700189,550287,2,657187,12459732,314.0,,,,,,
122700190,512397,3,657187,12459732,314.0,,,,,,
122700191,550287,2,657187,14490022,445.0,,,,,,
122700192,512397,3,657187,14490022,445.0,,,,,,
122700193,550287,2,657187,16267662,792.0,,,,,,
122700194,512397,3,657187,16267662,792.0,,,,,,
122700195,550287,2,657187,16758558,331.0,,,,,,
122700196,512397,3,657187,16758558,331.0,,,,,,
122700197,550287,2,657187,17614335,430.0,,,,,,
122700198,512397,3,657187,17614335,430.0,,,,,,
122700199,550287,2,657187,17671007,122.0,,,,,,
122700200,512397,3,657187,17671007,122.0,,,,,,
122700307,550287,0,512397,8408133,1.0,,,,,,
122700308,550287,0,512397,8684963,1.0,,,,,,
122700309,550287,0,512397,8890301,1.0,,,,,,
