,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
173,67,2,657187,9519349,300,,,,,,
185,67,2,657187,11623738,100,,,,,,
188,67,2,657187,11775168,100,,,,,,
307,67,2,657187,13629169,300,,,,,,
360,67,2,657187,14475818,600,,,,,,
373,67,2,657187,15251393,300,,,,,,
74,67,0,39,2918105,1,,,,,,
80,67,0,39,3239797,1,,,,,,
93,67,0,39,4070126,1,,,,,,
97,67,0,39,4127140,1,,,,,,
100,67,0,39,4183004,1,,,,,,
77,67,0,47,3046943,1,,,,,,
82,67,0,47,3274683,1,,,,,,
91,67,0,47,3961182,1,,,,,,
174,39,3,657187,9519349,300,,,,,,
186,39,3,657187,11623738,100,,,,,,
189,39,3,657187,11775168,100,,,,,,
308,39,3,657187,13629169,300,,,,,,
361,39,3,657187,14475818,600,,,,,,
374,39,3,657187,15251393,300,,,,,,
139,39,0,67,7312933,1,,,,,,
148,39,0,67,8104116,1,,,,,,
152,39,0,67,8329065,1,,,,,,
90,39,0,47,3759876,1,,,,,,
108,39,0,47,4586298,1,,,,,,
121,39,0,47,5539314,1,,,,,,
143,39,0,47,7781464,1,,,,,,
153,39,0,47,8343434,1,,,,,,
156,39,0,47,8368424,1,,,,,,
168,39,0,47,9067046,1,,,,,,
171,39,0,47,9383841,1,,,,,,
75,47,0,39,2950842,1,,,,,,
94,47,0,39,4070519,1,,,,,,
96,47,0,39,4095752,1,,,,,,
104,47,0,39,4382315,1,,,,,,
115,47,0,39,5007419,1,,,,,,
117,47,0,39,5196460,1,,,,,,
134,47,0,39,6317557,1,,,,,,
48,65,1,39,575922,1,5.0,5.0,,,,
65,65,0,39,2025218,1,,,,,,
170,65,1,39,9304539,1,5.0,5.0,,,,
142,40,1,39,7533645,1,5.0,5.0,,,,
162,40,1,39,8900010,1,5.0,5.0,,,,
73,41,0,39,2916910,1,,,,,,
88,41,1,39,3600085,1,5.0,5.0,,,,
103,41,1,39,4277404,1,5.0,5.0,,,,
8,41,1,37,149161,1,5.0,5.0,,,,
98,41,1,0,4131639,1,5.0,5.0,,,,
151,41,0,0,8185766,1,,,,,,
327,34,1,41,13977408,1,5.0,5.0,,,,
21,37,0,34,272059,1,,,,,,
27,37,1,34,346631,1,5.0,5.0,,,,
217,37,0,58,12488631,1,,,,,,
2,37,0,27,94461,1,,,,,,
195,43,1,37,12329138,1,3.0,5.0,,,,
447,43,1,58,23332788,1,3.0,4.0,,,,
486,43,0,58,24244895,1,,,,,,
205,43,1,27,12391413,1,3.0,5.0,,,,
218,56,1,37,12492175,1,0.0,5.0,,,,
330,56,0,37,13999617,1,,,,,,
363,57,0,37,14499063,1,,,,,,
222,57,0,43,12545708,1,,,,,,
247,57,0,43,12907759,1,,,,,,
605,57,1,56,26842692,1,0.0,0.0,,,,
265,57,0,58,13027297,1,,,,,,
204,57,0,27,12384573,1,,,,,,
251,57,0,27,12934805,1,,,,,,
206,58,0,37,12417098,1,,,,,,
273,58,0,37,13152725,1,,,,,,
302,58,1,37,13573551,1,4.0,5.0,,,,
214,58,0,43,12471153,1,,,,,,
221,58,1,56,12535750,1,4.0,0.0,,,,
296,58,0,56,13504512,1,,,,,,
252,58,0,27,12957842,1,,,,,,
11,27,1,37,177201,1,5.0,5.0,,,,
61,27,1,37,665052,1,5.0,5.0,,,,
200,27,1,56,12346487,1,5.0,0.0,,,,
250,27,1,57,12928438,1,5.0,0.0,,,,
253,27,1,58,12961987,1,5.0,4.0,,,,
