Country Name,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Dominican Republic,DOM,Income share held by lowest 20%,SI.DST.FRST.20,4.1,3.9,4.4,4.6,4.5,4.6,4.7,4.9,4.8,5.1,5
Algeria,DZA,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,9.4,,,,
East Asia & Pacific (excluding high income),EAP,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Early-demographic dividend,EAR,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
East Asia & Pacific,EAS,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Europe & Central Asia,ECS,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Ecuador,ECU,Income share held by lowest 20%,SI.DST.FRST.20,3.2,3.7,3.5,3.8,4.1,4.2,4.4,4.3,4.5,4.8,4.6
"Egypt, Arab Rep.",EGY,Income share held by lowest 20%,SI.DST.FRST.20,,,,9.2,,9.4,,9.9,,,9.1
Euro area,EMU,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Eritrea,ERI,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Spain,ESP,Income share held by lowest 20%,SI.DST.FRST.20,7,6.7,6.7,6.6,6.3,6.3,6,6.1,5.7,5.7,5.8
Estonia,EST,Income share held by lowest 20%,SI.DST.FRST.20,7.4,7.5,8,7.8,7.7,7.2,7.3,7.3,6.8,7,7.5
Ethiopia,ETH,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,8,,,,,7.3
European Union,EUU,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Finland,FIN,Income share held by lowest 20%,SI.DST.FRST.20,9.5,9.2,9.2,9.3,9.3,9.2,9.3,9.4,9.3,9.4,9.4
Fiji,FJI,Income share held by lowest 20%,SI.DST.FRST.20,,,,6.6,,,,,7.5,,
France,FRA,Income share held by lowest 20%,SI.DST.FRST.20,8.6,8.5,8.1,7.9,7.7,7.7,7.8,7.8,8,8,7.9
Faroe Islands,FRO,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Income share held by lowest 20%,SI.DST.FRST.20,5.6,,,,,,,,5.5,,
Gabon,GAB,Income share held by lowest 20%,SI.DST.FRST.20,5.8,,,,,,,,,,
United Kingdom,GBR,Income share held by lowest 20%,SI.DST.FRST.20,6.9,7,6.9,7.2,7.2,7.3,7.4,7.6,7.4,7.3,7.4
Georgia,GEO,Income share held by lowest 20%,SI.DST.FRST.20,6.2,6.3,6.2,6.1,6.1,5.7,5.6,5.9,6.1,6.4,6.7
Ghana,GHA,Income share held by lowest 20%,SI.DST.FRST.20,5.2,,,,,,,5.4,,,
Gibraltar,GIB,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Guinea,GIN,Income share held by lowest 20%,SI.DST.FRST.20,,,6.3,,,,,7.6,,,
"Gambia, The",GMB,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,5.7,,,,,7.4
Guinea-Bissau,GNB,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,4.5,,,,,
Equatorial Guinea,GNQ,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Greece,GRC,Income share held by lowest 20%,SI.DST.FRST.20,6.9,6.7,7,7.1,7,6.7,6.1,5.8,5.9,5.9,5.8
Grenada,GRD,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Greenland,GRL,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Guatemala,GTM,Income share held by lowest 20%,SI.DST.FRST.20,,3.2,,,,,,,,4.5,
Guam,GUM,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Guyana,GUY,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
High income,HIC,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
"Hong Kong SAR, China",HKG,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Honduras,HND,Income share held by lowest 20%,SI.DST.FRST.20,1.9,2.1,2.8,2.7,3.3,3.1,2.7,2.8,3.2,3.6,3.6
Heavily indebted poor countries (HIPC),HPC,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Croatia,HRV,Income share held by lowest 20%,SI.DST.FRST.20,,,,,6.9,6.9,6.9,6.9,7.1,7.1,7.3
Haiti,HTI,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,5.5,,,
Hungary,HUN,Income share held by lowest 20%,SI.DST.FRST.20,7.1,8.7,8.7,8.8,8.8,8.2,8.1,7.6,7.5,7.6,7.8
IBRD only,IBD,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
IDA & IBRD total,IBT,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
IDA total,IDA,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
IDA blend,IDB,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Indonesia,IDN,Income share held by lowest 20%,SI.DST.FRST.20,8.5,8.1,7.8,7.9,8,7.6,7.1,7.2,7.1,7.2,7
IDA only,IDX,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Isle of Man,IMN,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
India,IND,Income share held by lowest 20%,SI.DST.FRST.20,,,,,8.3,,8.1,,,,
Not classified,INX,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Ireland,IRL,Income share held by lowest 20%,SI.DST.FRST.20,7.7,7.9,8.2,8.2,7.7,7.6,7.4,7.5,7.3,7.9,8
"Iran, Islamic Rep.",IRN,Income share held by lowest 20%,SI.DST.FRST.20,5.3,5,,,5.3,,,,6.8,6.3,6.3
Iraq,IRQ,Income share held by lowest 20%,SI.DST.FRST.20,,9.3,,,,,,8.8,,,
Iceland,ISL,Income share held by lowest 20%,SI.DST.FRST.20,9.2,8.9,9.1,8.6,9.1,9.5,9.3,9.3,9.9,9.4,9.5
Israel,ISR,Income share held by lowest 20%,SI.DST.FRST.20,4.9,,5,,,4.7,,4.8,,5,
Italy,ITA,Income share held by lowest 20%,SI.DST.FRST.20,6.8,6.9,7.1,6.9,6.7,6.4,6.4,6.3,6.2,6.2,5.9
Jamaica,JAM,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Jordan,JOR,Income share held by lowest 20%,SI.DST.FRST.20,,8,,8.4,,8.2,,,,,
Japan,JPN,Income share held by lowest 20%,SI.DST.FRST.20,,,,6.4,,8.2,,,7.7,,
Kazakhstan,KAZ,Income share held by lowest 20%,SI.DST.FRST.20,6,8.9,8.9,9.5,9.4,9.5,9.5,9.4,9.8,9.9,10
Kenya,KEN,Income share held by lowest 20%,SI.DST.FRST.20,5,,,,,,,,,,6.2
Kyrgyz Republic,KGZ,Income share held by lowest 20%,SI.DST.FRST.20,8.4,7.3,7.6,8.4,9.1,8.7,9.7,9.6,9.3,10,9.5
Cambodia,KHM,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Kiribati,KIR,Income share held by lowest 20%,SI.DST.FRST.20,,6.6,,,,,,,,,
St. Kitts and Nevis,KNA,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
"Korea, Rep.",KOR,Income share held by lowest 20%,SI.DST.FRST.20,,7.3,,7.2,,7.3,,7.3,,,
Kuwait,KWT,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Latin America & Caribbean (excluding high income),LAC,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Lao PDR,LAO,Income share held by lowest 20%,SI.DST.FRST.20,,,8,,,,,7.6,,,
Lebanon,LBN,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,7.9,,,,
Liberia,LBR,Income share held by lowest 20%,SI.DST.FRST.20,,,6.5,,,,,,,7.8,
Libya,LBY,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
St. Lucia,LCA,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Latin America & Caribbean,LCN,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Least developed countries: UN classification,LDC,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Low income,LIC,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Liechtenstein,LIE,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Sri Lanka,LKA,Income share held by lowest 20%,SI.DST.FRST.20,,6.9,,,7.7,,,7.1,,,
Lower middle income,LMC,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Low & middle income,LMY,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Lesotho,LSO,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Late-demographic dividend,LTE,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Lithuania,LTU,Income share held by lowest 20%,SI.DST.FRST.20,6.4,6.9,6.8,6.6,5.7,6.5,7.1,6.5,6.7,6,6.1
Luxembourg,LUX,Income share held by lowest 20%,SI.DST.FRST.20,8.2,8.2,8.3,7.8,8,8.2,7.8,7.3,7.6,7.9,7.2
Latvia,LVA,Income share held by lowest 20%,SI.DST.FRST.20,5.9,6.8,6.4,6.1,5.9,6.2,6.4,6.5,6.5,6.6,7.1
"Macao SAR, China",MAC,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
St. Martin (French part),MAF,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Morocco,MAR,Income share held by lowest 20%,SI.DST.FRST.20,,6.5,,,,,,,6.7,,
Monaco,MCO,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Moldova,MDA,Income share held by lowest 20%,SI.DST.FRST.20,7,7.1,7.4,7.3,7.6,8.1,8.5,9,9.1,9.7,9.7
Madagascar,MDG,Income share held by lowest 20%,SI.DST.FRST.20,6.7,,,,,6.1,,5.7,,,
Maldives,MDV,Income share held by lowest 20%,SI.DST.FRST.20,,,,,6.4,,,,,,
Middle East & North Africa,MEA,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Mexico,MEX,Income share held by lowest 20%,SI.DST.FRST.20,4,4.5,,4.1,,4.7,,4.5,,4.7,
Marshall Islands,MHL,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Middle income,MIC,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
North Macedonia,MKD,Income share held by lowest 20%,SI.DST.FRST.20,,,,,4.1,3.7,4.4,4.9,5.6,5.8,5.6
Mali,MLI,Income share held by lowest 20%,SI.DST.FRST.20,,6.4,,,8,,,,,,
Malta,MLT,Income share held by lowest 20%,SI.DST.FRST.20,,8.6,8.3,8.5,8.2,8.4,8.5,8.4,8.6,8.6,8.5
Myanmar,MMR,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,7.3
Middle East & North Africa (excluding high income),MNA,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Montenegro,MNE,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,4.5,5.2,5.1,5.2
Mongolia,MNG,Income share held by lowest 20%,SI.DST.FRST.20,,,7.3,,,7.8,7.8,7.6,,8.1,
Northern Mariana Islands,MNP,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Mozambique,MOZ,Income share held by lowest 20%,SI.DST.FRST.20,,,,5.2,,,,,,4.2,
Mauritania,MRT,Income share held by lowest 20%,SI.DST.FRST.20,,,,6.7,,,,,,7.5,
Mauritius,MUS,Income share held by lowest 20%,SI.DST.FRST.20,,7.6,,,,,,7,,,
Malawi,MWI,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,5.5,,,,,
Malaysia,MYS,Income share held by lowest 20%,SI.DST.FRST.20,,,4.7,4.8,,,5.2,,5.8,,5.8
North America,NAC,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Namibia,NAM,Income share held by lowest 20%,SI.DST.FRST.20,,,,,3.3,,,,,,2.8
New Caledonia,NCL,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Niger,NER,Income share held by lowest 20%,SI.DST.FRST.20,5.8,,7.7,,,,8.9,,,7.8,
Nigeria,NGA,Income share held by lowest 20%,SI.DST.FRST.20,,,,,5.4,,,,,,
Nicaragua,NIC,Income share held by lowest 20%,SI.DST.FRST.20,4.8,,,,5.3,,,,,5.1,
Netherlands,NLD,Income share held by lowest 20%,SI.DST.FRST.20,8.7,8.7,8.8,8.7,9,9,9.1,9.1,8.9,8.8,8.9
Norway,NOR,Income share held by lowest 20%,SI.DST.FRST.20,9,9.2,9.4,9.1,9.4,9.5,9.5,9.4,9.3,9.1,9
Nepal,NPL,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,8.3,,,,,
Nauru,NRU,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
New Zealand,NZL,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
OECD members,OED,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Oman,OMN,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Other small states,OSS,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Pakistan,PAK,Income share held by lowest 20%,SI.DST.FRST.20,9,,9.2,,,9.6,9.3,,9.2,,8.9
Panama,PAN,Income share held by lowest 20%,SI.DST.FRST.20,2.7,2.5,3,3.2,3.5,3.3,3.4,3.2,3.3,3.4,3.4
Peru,PER,Income share held by lowest 20%,SI.DST.FRST.20,3.6,3.5,3.5,3.8,4,4.3,4.4,4.4,4.5,4.7,4.7
Philippines,PHL,Income share held by lowest 20%,SI.DST.FRST.20,,5,,,5.3,,,5.2,,,5.7
Palau,PLW,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Papua New Guinea,PNG,Income share held by lowest 20%,SI.DST.FRST.20,,,,,5.1,,,,,,
Poland,POL,Income share held by lowest 20%,SI.DST.FRST.20,6.4,6.8,7.2,7.3,7.3,7.3,7.3,7.2,7.2,7.2,7.4
Pre-demographic dividend,PRE,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Puerto Rico,PRI,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
"Korea, Dem. People’s Rep.",PRK,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Portugal,PRT,Income share held by lowest 20%,SI.DST.FRST.20,6.7,6.7,6.8,6.9,7.2,7,6.8,6.4,6.2,6.5,6.7
Paraguay,PRY,Income share held by lowest 20%,SI.DST.FRST.20,3.9,3.6,3.6,4.1,4,3.8,3.5,4.2,4.4,4,4.3
West Bank and Gaza,PSE,Income share held by lowest 20%,SI.DST.FRST.20,7.3,7.8,7.1,,7.7,7.5,7.7,,,,
Pacific island small states,PSS,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Post-demographic dividend,PST,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
French Polynesia,PYF,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Qatar,QAT,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Romania,ROU,Income share held by lowest 20%,SI.DST.FRST.20,,5,5.5,5.8,6,5.7,5.5,5.3,5,4.9,5.1
Russian Federation,RUS,Income share held by lowest 20%,SI.DST.FRST.20,5.8,5.9,5.8,6.1,6.4,6.4,6.5,6.3,6.4,6.6,6.9
Rwanda,RWA,Income share held by lowest 20%,SI.DST.FRST.20,4.5,,,,,5.6,,,6,,
South Asia,SAS,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Saudi Arabia,SAU,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Sudan,SDN,Income share held by lowest 20%,SI.DST.FRST.20,,,,,6.8,,,,,7.8,
Senegal,SEN,Income share held by lowest 20%,SI.DST.FRST.20,6.2,,,,,,6.1,,,,
Singapore,SGP,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Solomon Islands,SLB,Income share held by lowest 20%,SI.DST.FRST.20,5,,,,,,,,7,,
Sierra Leone,SLE,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,7.9,,,,
El Salvador,SLV,Income share held by lowest 20%,SI.DST.FRST.20,3.8,4.8,5.2,4.6,4.9,5.1,5.6,5.7,5.5,5.8,6.1
San Marino,SMR,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Somalia,SOM,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Serbia,SRB,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,4.7,4.7,4.3,4.4
Sub-Saharan Africa (excluding high income),SSA,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
South Sudan,SSD,Income share held by lowest 20%,SI.DST.FRST.20,,,,,3.9,,,,,,
Sub-Saharan Africa,SSF,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Small states,SST,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Sao Tome and Principe,STP,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,8.4,,,,,
Suriname,SUR,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Slovak Republic,SVK,Income share held by lowest 20%,SI.DST.FRST.20,8.7,9.3,9.5,9.2,8.6,8.5,8.7,8.6,8.3,8.4,8.5
Slovenia,SVN,Income share held by lowest 20%,SI.DST.FRST.20,9.9,10,10,10.2,9.8,9.7,9.7,9.4,9.2,9.4,9.6
Sweden,SWE,Income share held by lowest 20%,SI.DST.FRST.20,8.7,9.2,8.9,8.6,8.6,8.6,8.5,8.5,8.1,8.4,8.2
Eswatini,SWZ,Income share held by lowest 20%,SI.DST.FRST.20,,,,,4,,,,,,
Sint Maarten (Dutch part),SXM,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Seychelles,SYC,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,5.4,,
Syrian Arab Republic,SYR,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Turks and Caicos Islands,TCA,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Chad,TCD,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,4.9,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Togo,TGO,Income share held by lowest 20%,SI.DST.FRST.20,,6.1,,,,,4.8,,,,5
Thailand,THA,Income share held by lowest 20%,SI.DST.FRST.20,,6,6.5,6.4,6.5,6.6,7.2,6.6,6.9,7.1,7.5
Tajikistan,TJK,Income share held by lowest 20%,SI.DST.FRST.20,,,7.4,,8.4,,,,,,7.4
Turkmenistan,TKM,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Timor-Leste,TLS,Income share held by lowest 20%,SI.DST.FRST.20,,,9.5,,,,,,,9.4,
Middle East & North Africa (IDA & IBRD countries),TMN,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Tonga,TON,Income share held by lowest 20%,SI.DST.FRST.20,,,,,6.7,,,,,,6.8
South Asia (IDA & IBRD),TSA,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Trinidad and Tobago,TTO,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Tunisia,TUN,Income share held by lowest 20%,SI.DST.FRST.20,6.4,,,,,6.7,,,,,7.8
Turkey,TUR,Income share held by lowest 20%,SI.DST.FRST.20,5.2,5.6,5.8,5.7,5.9,5.9,5.8,5.8,5.8,5.8,5.6
Tuvalu,TUV,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,6.6,,,,,
Tanzania,TZA,Income share held by lowest 20%,SI.DST.FRST.20,,,6.3,,,,7.4,,,,
Uganda,UGA,Income share held by lowest 20%,SI.DST.FRST.20,6.1,,,,5.9,,,6.4,,,
Ukraine,UKR,Income share held by lowest 20%,SI.DST.FRST.20,8.8,8.8,9.5,9.6,10,10.2,10.2,10.2,10.3,10.5,10
Upper middle income,UMC,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Uruguay,URY,Income share held by lowest 20%,SI.DST.FRST.20,4.8,4.9,4.8,5,4.8,5,5.4,5.6,5.5,5.6,5.6
United States,USA,Income share held by lowest 20%,SI.DST.FRST.20,,,5.2,,,5.3,,,5.3,,
Uzbekistan,UZB,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
